playerID,BA,POS
escobyu01,0.253,IN
espinda01,0.247,IN
estrama01,0.1,P
ethiean01,0.284,OF
exposlu01,0.056,C
faluir01,0.341,IN
familje01,0,P
farrier01,0.125,IN
federti01,0.333,C
feldmsc01,0.25,P
felizne01,0,P
fieldpr01,0.313,IN
fieldth01,0,IN
fiersmi01,0.094,P
fifest01,0.286,P
figgich01,0.181,IN
fistedo01,0,P
flahery01,0.216,IN
floreje02,0.213,C
floripe01,0.219,IN
flowety01,0.213,IN
floydga01,0,P
fontemi01,0.289,IN
fordle01,0.183,OF
forsylo01,0.273,IN
fowlede01,0.3,OF
francbe01,0.24,OF
francbe01,0.228,OF
francbe01,0.247,OF
francje01,0.065,P
francje02,0.235,OF
francju02,0.234,IN
frandke01,0.338,IN
frazito01,0.273,IN
freemfr01,0.259,IN
freesda01,0.293,IN
friedch01,0.08,P
fryerer01,0.25,OF
fukudko01,0.171,OF
fuldsa01,0.255,OF
furcara01,0.264,IN
galarar01,0,P
gallayo01,0.164,P
galvifr01,0.226,IN
gamelma01,0.246,IN
garciav01,0.319,OF
garcifr02,0,P
garcija01,0.333,P
garcija02,0.25,P
gardnbr01,0.323,OF
garzama01,0.067,P
gaudich01,0,P
geedi01,0.148,P
gentrcr01,0.304,OF
germaju01,0.059,P
getzch01,0.275,IN
giambja01,0.225,IN
giavojo01,0.238,IN
gillaco01,0.15,IN
gimench01,0.26,IN
gimenhe01,0.455,C
goldspa01,0.286,IN
gomesbr01,0,P
gomesjo01,0.262,OF
gomesya01,0.204,IN
gomezca01,0.26,OF
gomezje01,0.25,P
gomezma01,0.275,IN
gonzaad01,0.3,IN
gonzaad01,0.297,IN
gonzaal02,0.259,IN
gonzaal03,0.241,IN
gonzaca01,0.303,OF
gonzaed01,0.111,P
gonzagi01,0.094,P
gonzama01,0.234,IN
gordoal01,0.294,OF
gordode01,0.228,IN
gorzeto01,0.333,P
gosean01,0.223,OF
grahaty01,0,OF
grandcu01,0.232,OF
grandya01,0.297,C
greenni01,0.174,IN
greenta01,0.184,IN
greenty02,0.218,IN
greenty02,0.246,IN
gregelu01,0,P
gregodi01,0.3,IN
greinza01,0.212,P
guthrje01,0.08,P
gutiefr01,0.26,OF
guyerbr01,0.143,OF
guzmaje01,0.247,IN
gwynnto02,0.232,OF
hackeer01,0,P
haguema01,0.229,IN
hairsje02,0.273,IN
hairssc01,0.263,OF
hallaro01,0.17,P
hallbi03,0.222,OF
hamelco01,0.217,P
hamiljo03,0.285,OF
hammeja01,0,P
hampsju01,0,P
handbr01,0,P
hanigry01,0.274,C
hannaja01,0.244,IN
hansoto01,0.02,P
happja01,0.094,P
haranaa01,0.071,P
hardyjj01,0.238,IN
harenda01,0,P
harpebr03,0.27,OF
harrelu01,0.153,P
harrijo05,0.233,IN
harrima01,0,P
harriwi01,0.114,IN
hartco01,0.27,IN
harvema01,0.333,P
hatchch02,0,P
hayesbr01,0.202,C
headlch01,0.286,IN
hechaad01,0.254,IN
hefneje01,0.1,P
heisech01,0.265,OF
hellije01,0,P
heltoto01,0.238,IN
hendrli01,0,P
henslcl01,0,P
hermije01,0.25,OF
hernada01,1,P
hernafe02,0.333,P
hernago01,0.083,OF
hernago01,0.212,OF
hernali01,0,P
hernali01,0,P
hernalu01,0,IN
hernara02,0.217,IN
herndda01,0,P
herreel01,0.251,IN
herrejo03,0.262,IN
herrmch01,0.056,C
hestejo01,0.212,C
heywaja01,0.269,OF
hicksbr01,0.172,IN
hillaa01,0.302,IN
hillko01,0.179,C
hillst01,0.2,IN
hinshal01,0,P
hinsker01,0.197,IN
hochelu01,0.2,P
hoeslj01,0,OF
holadbr01,0.25,C
hollade01,0,P
hollima01,0.295,OF
holtbr01,0.292,IN
hosmeer01,0.232,IN
howarry01,0.219,IN
hudsoda01,0.154,P
hudsoor01,0.211,IN
hudsoor01,0.197,IN
hudsoti01,0.218,P
huffau01,0.192,IN
hugheja02,0,P
hughelu01,0.2,IN
hughelu01,0.077,IN
hugheph01,0,P
humbeph01,0.2,P
hundlni01,0.157,C
hunteto01,0.313,OF
hunteto02,0,P
hutchdr01,0,P
iannech01,0.24,C
ibanera01,0.24,OF
iglesjo01,0.118,IN
infanom01,0.257,IN
infanom01,0.287,IN
ingebr01,0.1,IN
ingebr01,0.226,IN
ishiktr01,0.257,IN
izturce01,0.235,IN
izturce01,0.5,IN
izturma01,0.256,IN
jacksau01,0.3,OF
jacksbr01,0.175,OF
jacksed01,0.228,P
jacksry02,0.118,IN
jacobmi02,0.211,IN
janispa01,0.186,IN
jasojo01,0.276,C
jayjo02,0.305,OF
jennida01,0,P
jennide01,0.246,OF
jeterde01,0.316,IN
jimenub01,0,P
johnsch05,0.286,IN
johnsch05,0.279,IN
johnsda06,0.364,IN
johnsel02,0.242,IN
johnsjo09,0.094,P
johnske05,0.225,IN
johnsni01,0.207,IN
johnsre02,0.302,OF
johnsre02,0.27,OF
johnsro07,0.25,C
jonesad01,0.287,OF
jonesan01,0.197,OF
jonesch06,0.287,IN
jonesga02,0.274,IN
joycema01,0.241,OF
jurrjja01,0.077,P
kaaihki01,0.234,IN
kalisry01,0.229,OF
karstje01,0.107,P
kawasmu01,0.192,IN
kearnau01,0.245,IN
kellyca01,0.2,P
kellydo01,0.186,IN
kellyjo05,0.152,P
kempma01,0.303,OF
kendrho01,0.287,IN
kendrky01,0.139,P
kennead01,0.262,IN
kenneia01,0.078,P
keppije01,0.325,IN
kershcl01,0.207,P
keuchda01,0.1,P
kinslia01,0.256,IN
kipnija01,0.257,IN
koehlto01,0,P
komater01,0.211,OF
komater01,0.219,OF
konerpa01,0.298,IN
kontoge01,0,P
kotchca01,0.229,IN
kotsama01,0.259,IN
kottage01,0.212,IN
kottage01,0.209,IN
kozmape01,0.333,IN
kratzer01,0.248,C
kubelja01,0.253,OF
kurodhi01,0,P
laffeaa01,0,P
lahaibr01,0.259,IN
lairdbr01,0.257,IN
lairdge01,0.282,C
lallibl01,0.133,IN
langery01,0,OF
lannajo01,0.111,P
laporma01,0.241,IN
larocad01,0.271,IN
latosma01,0.185,P
lavarry01,0.157,C
lawribr01,0.273,IN
leakemi01,0.295,P
leblawa01,0.083,P
lecursa01,0,P
leeca01,0.243,IN
leeca01,0.287,IN
leecl02,0.156,P
lemahdj01,0.297,IN
leonsa01,0.267,C
lerouch01,0,P
lerudst01,0.2,C
lestejo01,0,P
lewisco01,0.5,P
lewisfr02,0.15,OF
liddial01,0.224,IN
lillibr01,0.175,IN
lillibr01,0.216,IN
lillibr01,0.125,IN
lillyte01,0.067,P
linceti01,0.089,P
linch01,0.25,OF
lincobr01,0.2,P
lindad01,0.255,IN
liriafr01,0,P
lobatjo01,0.222,C
lockeje01,0.091,P
lohseky01,0.094,P
lombast02,0.273,IN
loneyja01,0.254,IN
loneyja01,0.23,IN
longoev01,0.289,IN
lopezjo01,0.217,IN
lopezjo01,0.249,IN
loughda01,0.237,OF
loupaa01,0,P
louxsh01,0,P
lowede01,0.5,P
lowrije01,0.244,IN
lucrojo01,0.32,C
ludwiry01,0.275,OF
luebkco01,0,P
lunahe01,0.226,IN
lutzza01,0.091,IN
lylesjo01,0.158,P
lynnla01,0.06,P
machama01,0.262,IN
maholpa01,0.077,P
maholpa01,0.042,P
mahonjo01,0,IN
maiermi01,0.172,OF
mainesc01,0,P
maldoca03,0,C
maldoma01,0.266,IN
marcush01,0.105,P
markani01,0.298,OF
marquja01,0.281,P
marsolo01,0.226,C
martelu01,0,P
martest01,0.257,OF
marticr01,0,P
martife02,0.237,OF
martijd02,0.241,OF
martile01,0.174,OF
martilu02,0.111,C
martimi02,0.174,IN
martiru01,0.211,C
masteju01,0,P
mastrda01,0.252,IN
mathejo02,0.209,IN
mathije01,0.218,C
matsuda01,0,P
matsuhi01,0.147,OF
matthry01,0,P
mattike01,0,OF
matusbr01,0.25,P
mauerjo01,0.319,IN
maxweju01,0.229,OF
maybejo02,0.245,IN
maybica01,0.243,OF
maysoed01,0.25,IN
mazzavi01,0.5,P
mcbrima02,0.205,IN
mccanbr01,0.23,C
mccleky01,0,P
mcclemi01,0,P
mccoymi01,0.173,IN
mccutan01,0.327,OF
mcdonda02,0.214,OF
mcdonda02,0,OF
mcdonja03,0.143,P
mcdonjo03,0.249,IN
mcgehca01,0.151,IN
mcgehca01,0.23,IN
mchugco01,0,P
mckenmi01,0.233,C
mclouna01,0.268,OF
mclouna01,0.14,OF
mcpheky01,0,P
medlekr01,0.121,P
mejiaje01,0,P
mendolu01,0,P
mercejo03,0.21,IN
mesame01,0.5,OF
mesorde01,0.212,C
middlwi01,0.288,IN
mijarjo01,0,P
mikolmi01,0,P
mileywa01,0.169,P
millesh01,0.667,P
millwke01,0,P
milonto01,0.2,P
minormi01,0.073,P
molinjo01,0.223,C
molinya01,0.315,IN
monteje01,0.26,C
montemi01,0.286,C
mooread01,0.182,C
moorema02,0,P
mooresc02,0.259,IN
moorety01,0.263,IN
moralfr01,0.5,P
moralke01,0.273,IN
morelbr01,0.177,IN
morelmi01,0.275,IN
morgany01,0.239,OF
morneju01,0.267,IN
morrilo01,0.23,IN
morsemi01,0.291,IN
mortecl01,0,P
mortoch02,0,P
moscogu01,0.182,P
moseldu01,0,P
mossbr01,0.291,IN
moustmi01,0.242,IN
moyerja01,0.154,P
murphda07,0.304,OF
murphda08,0.291,IN
murphdo01,0.216,IN
nadyxa01,0.157,OF
nadyxa01,0.24,OF
napolmi01,0.227,IN
narvech01,0,P
navada01,0.243,OF
navardi01,0.29,C
navarya01,0.16,IN
nealth01,0.217,OF
negrokr01,0.25,OF
nelsoch01,0.301,IN
nicasju01,0.111,P
nickemi01,0.174,C
niesejo01,0.218,P
nieuwki01,0.252,OF
nievewi01,0.306,IN
nievewi01,0.298,IN
nishits01,0,IN
nixja01,0.243,IN
nixla01,0.246,IN
noesihe01,0.5,P
nolasri01,0.161,P
norribu01,0.1,P
norride01,0.201,C
novaiv01,0.143,P
nunezed02,0.292,IN
ogandal01,0.5,P
ohlenro01,0.062,P
olivomi01,0.222,C
olmedra01,0.244,IN
oltmi01,0.152,IN
orrpe01,0.315,IN
ortegra01,0.5,OF
ortizda01,0.318,IN
oteroda01,0,P
ottavad01,0.111,P
outmajo01,0.083,P
overbly01,0.292,IN
overbly01,0.1,IN
owingmi01,0,P
pachejo01,0.309,IN
padilvi01,0,P
paganan01,0.288,OF
paredji01,0.189,IN
parkeja02,0,P
parmech01,0.229,IN
parrage01,0.273,OF
parrama01,0,P
parrian01,0.207,IN
pastoty01,0.243,IN
pauliro01,0.254,C
paulxa01,0.314,OF
pavanca01,0,P
pearcst01,0.254,IN
pearcst01,0.254,IN
pearcst01,0.16,IN
peavyja01,0,P
pedrodu01,0.29,IN
pegueca01,0.179,OF
peguefr01,0.188,OF
pelfrmi01,0.167,P
penabr01,0.236,IN
penaca01,0.197,IN
penara02,0.25,IN
pencehu01,0.271,OF
pencehu01,0.219,OF
pennicl01,0.215,IN
pennybr01,0,P
peraljh01,0.239,IN
peralwi01,0.091,P
perezeu01,0.2,OF
perezhe01,0.5,IN
perezju01,0,P
perezsa02,0.301,C
peterbr01,0.195,OF
petityu01,0,P
pettian01,0.25,P
phelpco01,0.212,IN
phillbr01,0.281,IN
phippde01,0.3,OF
pierrju01,0.307,OF
pierzaj01,0.278,C
pillbr01,0.21,IN
pinama01,0,C
plouftr01,0.235,IN
podsesc01,0.302,OF
polanpl01,0.257,IN
polloaj01,0.247,OF
pomerdr01,0.231,P
porceri01,0,P
poseybu01,0.336,IN
pradoma01,0.301,IN
preslal01,0.237,OF
priceda01,0,P
pridija01,0.3,OF
profaju01,0.176,IN
pujolal01,0.285,IN
puntoni01,0.2,IN
puntoni01,0.286,IN
quentca01,0.261,OF
quinthu01,0.232,C
quintjo01,0,P
quintom01,0.257,IN
quintom01,0.232,IN
quirogu01,0,C
raburry01,0.171,IN
raleybr01,0.2,P
ramiral03,0.265,IN
ramirar01,0.3,IN
ramirel02,0,P
ramirer02,0,P
ramirha01,0.246,IN
ramirha01,0.271,IN
ramosce01,0,P
ramoswi01,0.265,C
ransoco01,0.196,IN
ransoco01,0.269,IN
rasmuco01,0.223,OF
reckean01,0.129,IN
reckean01,0.167,IN
reddijo01,0.242,OF
redmoto01,0,P
reimono01,0.313,OF
repkoja01,0.091,OF
resopch01,0,P
reverbe01,0.294,OF
reyesjo01,0.287,IN
reynoma01,0.221,IN
reynoma02,0,P
rhymewi01,0.228,IN
richacl01,0.087,P
richaga01,0,P
riosal01,0.304,OF
riverju01,0.244,IN
rizzoan01,0.285,IN
roberbr01,0.182,IN
roberry01,0.214,IN
roberry01,0.25,IN
robinsh01,0.253,OF
robintr01,0.221,OF
rodrial01,0.272,IN
rodrian01,1,P
rodried04,0.2,C
rodrife02,0,P
rodrihe04,0.214,IN
rodrise01,0.213,IN
rodriwa01,0,P
rodriwa01,0.167,P
roenijo01,0.083,P
rogeres01,0,P
rogeres01,1,P
rogerma01,0.214,P
rolensc01,0.245,IN
rolliji01,0.25,IN
romerri01,0.2,P
rominan01,0.412,IN
rosalad01,0.222,IN
rosarwi01,0.27,IN
rosenbj01,0.333,P
rossco01,0.267,OF
rossda01,0.256,C
rossro01,0,P
rossty01,0,P
rottivi01,0.182,IN
rottivi01,0.107,IN
rufda01,0.333,IN
ruggiju01,0.312,OF
ruizca01,0.325,C
rusinch01,0.167,P
russeja02,0,P
rutlejo01,0.274,IN
ryanbr01,0.194,IN
sabatcc01,0,P
salasfe01,0,P
salech01,0,P
saltaja01,0.222,IN
samarje01,0.1,P
sanchan01,0.1,P
sanchbr01,0,P
sanchga01,0.241,IN
sanchga01,0.202,IN
sanchhe01,0.28,C
sanchjo01,0,P
sanchjo01,0,P
sandopa01,0.283,IN
sandsje01,0.174,IN
santaca01,0.252,IN
santaer01,0,P
santajo01,0.086,P
santira01,0.206,IN
santoom01,0.125,C
sappeda01,0.275,OF
saundjo01,0.086,P
saundmi01,0.247,OF
saverjo01,0,P
scahiro01,0,P
schafjo02,0.211,OF
schaflo01,0.304,OF
scherma01,0,P
schiena01,0.251,OF
schiena01,0.273,OF
schmiko01,0,C
schnebr01,0.225,C
schumsk01,0.276,IN
schwich01,0.25,P
scottlu01,0.229,IN
scutama01,0.271,IN
scutama01,0.362,IN
seageky01,0.259,IN
segurje01,0,IN
segurje01,0.264,IN
selleju01,0.205,IN
sheetbe01,0,P
shielja02,0.2,P
shoppke01,0.25,C
shoppke01,0.203,C
sierrmo01,0.224,OF
simmoan01,0.289,IN
simonal01,0,P
skaggty01,0,P
smithse01,0.24,OF
smoakju01,0.217,IN
smylydr01,0,P
snidetr01,0.25,OF
snidetr01,0.25,OF
snydebr03,0.277,IN
snydech02,0.176,IN
sogarer01,0.167,IN
solando01,0.295,IN
solanjh01,0.314,C
solisal01,0,C
soriaal01,0.262,OF
sotoge01,0.199,C
sotoge01,0.196,C
spande01,0.283,OF
spearna01,0,IN
stammcr01,0,P
stantmi03,0.29,OF
staufti01,0,P
stewach01,0.241,C
stewaia01,0.201,IN
stinsjo01,0,P
strasst01,0.277,P
stubbdr01,0.213,OF
stulter01,0.25,P
suppaje01,0.1,P
suttodr01,0.271,IN
suttodr01,0.243,IN
suzukic01,0.261,OF
suzukic01,0.322,OF
suzukku01,0.218,C
suzukku01,0.267,C
swarzan01,0,P
sweenry01,0.26,OF
swishni01,0.272,IN
tabatjo01,0.243,OF
taylomi01,0.143,OF
teagata01,0.158,C
teherju01,0,P
teixema01,0.251,IN
tejadru01,0.289,IN
tekotbl01,0.133,OF
thameer01,0.243,OF
thameer01,0.22,OF
theriry01,0.27,IN
tholejo01,0.234,C
thomacl02,0.143,OF
thomeji01,0.242,IN
thomeji01,0.257,IN
thompri02,0.091,OF
thornty01,0.2,P
tollest01,0.183,IN
tomlijo01,0.4,P
torrean02,0.23,OF
torreca01,0.222,P
torreyo01,0.236,IN
torreyo01,0.214,IN
torreyo01,0,IN
tracych01,0.269,IN
treanma01,0.175,C
triunca01,0.227,IN
troutmi01,0.326,OF
trumbma01,0.268,IN
tulowtr01,0.287,IN
turneja01,0,P
turneju01,0.269,IN
ugglada01,0.22,IN
uptonbj01,0.246,OF
uptonju01,0.28,OF
uribeju01,0.191,IN
utleych01,0.256,IN
valbulu01,0.219,IN
valdejo02,0.241,IN
valdewi01,0.206,IN
valenda01,0.198,IN
valenda01,0.143,IN
vanslsc01,0.167,IN
vargaja01,0.4,P
velazgi01,0.232,IN
venabwi01,0.264,OF
verlaju01,0,P
vicieda01,0.255,OF
victosh01,0.261,OF
victosh01,0.245,OF
villaca01,0.5,P
vinceni01,0,P
vittejo01,0.121,IN
vizquom01,0.235,IN
vogelry01,0.093,P
vogtst01,0,C
volqued01,0.071,P
volstch01,0.179,P
vottojo01,0.337,IN
wainwad01,0.121,P
walkene01,0.28,IN
wallabr01,0.253,IN
wangch01,0.167,P
watsoto01,0,P
weaveje02,0.5,P
webbry01,0,P
weeksje01,0.221,IN
weeksri01,0.23,IN
weilaky01,0,P
wellsca01,0.228,OF
wellski01,0.083,P
wellsra01,0.25,P
wellsve01,0.23,OF
wernean01,0.083,P
werthja01,0.3,OF
westbja01,0.122,P
wheelry01,0.239,IN
whiteal01,0.179,P
whiteel03,0.091,C
wielajo01,0.25,P
wietema01,0.249,C
wiggity01,0.235,IN
willije02,0.25,P
willijo03,0.26,OF
wilsobo02,0.211,IN
wilsocj01,0,P
wilsoja02,0.169,IN
wisede01,0.262,OF
wisede01,0.258,OF
wolfra02,0.15,P
woodke02,0,P
woodtr01,0.189,P
worleva01,0.081,P
worthda01,0.216,IN
wrighda03,0.306,IN
wrighja01,0,P
wrighwe01,0,P
youklke01,0.233,IN
youklke01,0.236,IN
youngch03,0.129,P
youngch04,0.231,OF
youngde03,0.267,OF
younger03,0.316,OF
youngma02,0.1,IN
youngmi02,0.277,IN
zambrca01,0.176,P
zieglbr01,0.25,P
zimmejo02,0.193,P
zimmery01,0.282,IN
zitoba01,0.075,P
zobribe01,0.27,IN
